,title,published_date,views,likes,dislikes,comments,commeents,month
223,Data Science Certificate vs Bootcamp vs Masters Degree,Jan,112183,3143,0,575,575,01-01-1900
224,How To Learn Programming for Data Science [3 Steps],Jan,30166,1982,0,96,96,01-01-1900
225,Data Science Fundamentals: SQL Queries,Jan,6711,219,0,35,35,01-01-1900
226,Questions You Should Ask Your Data Science Interviewers,Jan,3168,152,0,14,14,01-01-1900
227,The 9 Books That Changed My Perspective in 2019,Jan,3401,179,0,25,25,01-01-1900
228,The Data Science Interview: What to Expect,Dec,8695,382,0,32,32,01-12-1900
229,5 Data Science Resolutions for 2020,Dec,475,25,0,12,12,01-12-1900
230,How to Scrape NBA Data Using the nba_api Python Module,Dec,17712,613,0,95,95,01-12-1900
231,Collision Course: Sports Betting + Data Science,Dec,19252,520,0,27,27,01-12-1900
232,3 Reasons You Should NOT Become a Data Scientist,Dec,101008,2928,0,204,204,01-12-1900
233,5 Sports Analytics Books to Get You Started,Dec,11293,420,0,60,60,01-12-1900
234,Math Needed for Mastering Data Science,Dec,58003,2908,0,222,222,01-12-1900
235,The 5 Stages of Data Science Adoption,Dec,1334,69,0,17,17,01-12-1900
236,How YOU Can Land a Sports Analytics Job,Dec,71530,3137,0,232,232,01-12-1900
237,Data Science Fundamentals: Linear Regression,Nov,6455,174,0,42,42,01-11-1900
238,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,Nov,1157,54,0,12,12,01-11-1900
239,Sports Analytics 101: The Pythagorean Theorem of Sports,Nov,6436,278,0,26,26,01-11-1900
240,9 Ways You Can Make Extra Income as a Data Scientist,Nov,46548,1760,0,80,80,01-11-1900
241,Applying Data Science To My YouTube Data: My Surprising Findings,Nov,5971,137,0,31,31,01-11-1900
242,Why Selling Is An Important Data Science Skill,Nov,1651,81,0,13,13,01-11-1900
243,By The Numbers: Where Should The NBA Put a 4 Point Line?,Oct,2945,72,0,18,18,01-10-1900
244,Why is Balance Important in Data Science?,Oct,709,32,0,13,13,01-10-1900
245,How to Stay Productive & Motivated When Learning Data Science,Sep,12012,585,0,55,55,01-09-1900
246,How Far Should the NBA 3-Point Line Actually Be?,Sep,4069,119,0,34,34,01-09-1900
247,6 Habits of Successful Data Scientists,Sep,2258,97,0,17,17,01-09-1900
248,How To Build A Word Cloud From Scraped Data (Python),Sep,4894,104,0,9,9,01-09-1900
249,Thank You For The Support | What's Next | Ken Jee | Data Science,Aug,522,24,0,29,29,01-08-1900
250,Is Data Science Right For You?,Aug,51898,1183,0,109,109,01-08-1900
251,Data Science Fundamentals: Data Cleaning in Python,Aug,15130,394,0,55,55,01-08-1900
252,How To Get Data Science Experience (Without a Job),Aug,29795,1391,0,77,77,01-08-1900
253,Take Your Data Science Projects From Good to Great,Aug,1637,108,0,11,11,01-08-1900
254,The Projects You Should Do To Get A Data Science Job,Jul,152844,5739,0,255,255,01-07-1900
255,What Does a Data Scientist Actually Do?,Jul,49229,1302,0,81,81,01-07-1900
256,Data Science Fundamentals: Data Manipulation in Python (Pandas),Jul,13176,355,0,44,44,01-07-1900
257,Data Science Fundamentals: Data Exploration in Python (Pandas),Jul,18224,534,0,61,61,01-07-1900
258,Data Science: Pros and Cons,Jun,5455,224,0,18,18,01-06-1900
259,How I Got My First Data Science Internship (And How You Can Land One),Jun,25714,0,0,0,0,01-06-1900
260,My Top 5 Data Science Internship Tips,Jun,12085,500,0,24,24,01-06-1900
261,Golf STATS: Strokes Gained Explained,Jun,7748,160,0,30,30,01-06-1900
262,Most Data Science Hopefuls Overlook This Important Skill,May,620,45,0,5,5,01-05-1900
263,What I Learned From My Three Degrees,May,1284,61,0,12,12,01-05-1900
264,I Wish I Had Known THIS Before Starting in Data Science,May,25689,1068,0,66,66,01-05-1900
265,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,May,1262,40,0,2,2,01-05-1900
266,Should You Learn R for Data Science?,Apr,21741,569,0,71,71,01-04-1900
267,Scrape Twitter Data in Python with Twitterscraper Module,Apr,46587,855,0,330,330,01-04-1900
268,Work From Home Data Scientist: Day in the Life,Apr,28175,757,0,101,101,01-04-1900
269,Where to Look for Data Science Jobs,Mar,3029,120,0,9,9,01-03-1900
270,Data Science: Startup vs. Large Corporation,Mar,2261,75,0,4,4,01-03-1900
271,"Data Science, Machine Learning, and AI: What's the Difference?",Mar,6236,173,0,26,26,01-03-1900
272,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,Mar,4251,180,0,15,15,01-03-1900
273,Why You DON'T Want to be a WFH Data Scientist,Mar,822,33,0,12,12,01-03-1900
274,Welcome To My Channel | Ken Jee | Data Science,Mar,1460,36,0,8,8,01-03-1900
275,Where YOU Should Start With Data Science Projects,Feb,17692,355,0,17,17,01-02-1900
276,Watch This Before Applying to Data Science Jobs,Feb,1511,65,0,13,13,01-02-1900
277,My Top 5 Data Science Resources for 2019,Jan,3730,122,0,17,17,01-01-1900
278,IT'S NOT TOO LATE TO LEARN CODE!,Dec,842,35,0,6,6,01-12-1900
279,The Best Way to Predict NBA Minutes Played,Dec,4784,115,0,14,14,01-12-1900
280,Demystifying Data Science Roles,Nov,1148,53,0,5,5,01-11-1900
281,How to Simulate NBA Games in Python,Nov,18274,402,0,50,50,01-11-1900
282,Should You Get A Masters in Data Science?,Nov,20670,302,0,135,135,01-11-1900
283,How I Became A Data Scientist From a Business Background,Nov,6512,200,0,23,23,01-11-1900
284,Predicting Season Long NBA Wins Using Multiple Linear Regression,Jul,8974,195,0,17,17,01-07-1900
285,Predicting Crypto-Currency Price Using RNN lSTM & GRU,Nov,19217,294,0,41,41,01-11-1900
